    ID,Planta / nome popular,Imagem,Nome científico / grupo,Família / grupo botânico,Citada em,Perfil botânico sugerido,Características atualizadas,Luminosidade ideal,Temperatura ideal (°C),Umidade do ar ideal (%),Umidade solo ideal (%),Irrigar abaixo (%),Alerta excesso (%),Frequência de rega aproximada,Observações para IoT,Fonte técnica URL,Fonte popular URL,Confiança do parâmetro,Qtd. fontes citantes
    24,Jiboia / Pothos,,Epipremnum aureum / Epipremnum pinnatum,Araceae,Vobi; The Spruce; PHS; UGA,Moderado/Folhagem tropical,Planta pendente/trepadeira muito resistente; aceita sombra e rega regular moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,4
    18,Samambaia-de-boston,,Nephrolepis exaltata,Nephrolepidaceae,Vobi; ArchDaily; UGA; UMN Extension,Úmido/Tropical,"Folhagem pendente; precisa de solo úmido, ambiente com boa umidade e luz indireta.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://extension.umn.edu/gardening-minnesota/tropical-ferns ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,4
    42,Peperomia Pixie Lime,,Peperomia orba,Piperaceae,The Spruce,Seco/Suculenta-cacto,"Semi-suculenta; gosta de luz e solo bem drenado, regas profundas e espaçadas.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    11,Bambu-da-sorte,,Dracaena sanderiana,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; UGA,Úmido/Tropical,Tolera pouca luz e pode crescer na água; alta demanda de umidade no recipiente.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    36,Camedórea-elegante / Parlor palm,,Chamaedorea elegans,Arecaceae,Vobi; The Spruce; PHS,Moderado/Folhagem tropical,"Palmeira pequena de interior; luz indireta e rega leve/moderada, sensível a encharcamento.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,3
    3,Clorofito / Spider plant,,Chlorophytum comosum,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; PHS; UGA,Moderado/Folhagem tropical,"Planta resistente, pendente; aceita luz indireta e umidade moderada.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,5
    9,Espada-de-são-jorge / Snake plant,,Dracaena trifasciata / Sansevieria trifasciata,Asparagaceae,Terra/Casa.com; Vobi; The Spruce; PHS; UGA,Seco/Suculenta-cacto,Muito resistente; tolera baixa luz e pouca água; ideal para perfil de baixa irrigação.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,5
    58,Monstera obliqua,,Monstera obliqua,Araceae,The Spruce; UGA,Úmido/Tropical,"Monstera rara e sensível; requer umidade alta, luz parcial e solo uniformemente úmido.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Alta,2
    33,Zamioculca / ZZ plant,,Zamioculcas zamiifolia,Araceae,Vobi; ArchDaily; The Spruce; PHS,Seco/Suculenta-cacto,Muito resistente; tolera pouca luz e pouca água; deve evitar excesso de irrigação.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.archdaily.com.br/br/878119/12-plantas-para-cultivar-em-ambientes-internos ,Média,4
    28,Antúrio,,Anthurium spp.,Araceae,Vobi; The Spruce; UGA,Alta umidade/Epífita,"Folhagem/floração ornamental; meia-sombra, clima quente e úmido, rega moderada.",(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    32,Árvore-da-felicidade / Ming aralia,,Polyscias fruticosa,Araliaceae,Vobi; HouseFresh; UGA,Moderado/Folhagem tropical,Folhagem fina; precisa de boa luminosidade indireta e rega moderada/regular.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    45,Ave-do-paraíso,,Strelitzia spp.,Strelitziaceae,The Spruce,Moderado/Folhagem tropical,Planta arquitetural tropical; luz forte/indireta e rega média.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    6,Babosa / Aloe vera,,Aloe barbadensis / Aloe vera,Asphodelaceae,Terra/Casa.com; The Spruce; UGA; Illinois Extension,Seco/Suculenta-cacto,"Suculenta medicinal/ornamental; prefere solo seco, arenoso e muita luz.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    67,Begônia,,Begonia spp.,Begoniaceae,CasaCor Iniciantes / listas de iniciantes,Florífera sensível,Folhagem/floração ornamental; luz indireta e cuidado contra encharcamento.,"(4) Média/alta indireta, sem sol forte direto",18–24,40–60,45–65,45,75,(4) 3–7 dias; evitar molhar folhas/flores,Plantas com flores/folhas sensíveis. A irrigação deve ser precisa e preferencialmente no substrato.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://casacor.abril.com.br/pt-BR/noticias/paisagismo/guia-de-cuidados-com-plantas-para-iniciantes-especies-dicas-e-mais ,Média,1
    48,Begônia-rex,,Begonia rex,Begoniaceae,The Spruce,Florífera sensível,"Folhagem colorida; prefere umidade alta, luz parcial e cuidado contra excesso de água.","(4) Média/alta indireta, sem sol forte direto",18–24,40–60,45–65,45,75,(4) 3–7 dias; evitar molhar folhas/flores,Plantas com flores/folhas sensíveis. A irrigação deve ser precisa e preferencialmente no substrato.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    10,Bromélia,,Bromeliaceae genera,Bromeliaceae,Terra/Casa.com; The Spruce; UGA,Alta umidade/Epífita,"Planta epífita; prefere luz filtrada, boa aeração e água no centro/roseta em algumas espécies.",(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,3
    19,Cactáceas,,Cactaceae,Cactaceae,Vobi; ArchDaily; Illinois Extension,Seco/Suculenta-cacto,Grupo de plantas adaptadas à seca; preferem muita luminosidade e pouca água.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://extension.illinois.edu/news-releases/did-you-forget-water-your-plants-try-low-maintenance-succulents ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    27,Café-de-salão / Aglaonema,,Aglaonema commutatum / Aglaonema modestum,Araceae,Vobi; The Spruce; PHS; UGA,Moderado/Folhagem tropical,Excelente para baixa luz; prefere ambiente quente e umidade moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,4
    15,Cheflera / Sombrinha-chinesa,,Schefflera arboricola,Araliaceae,Terra/Casa.com; The Spruce; UGA,Moderado/Folhagem tropical,Arbustiva tropical; prefere alta luminosidade indireta e rega moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,3
    34,Ciclame,,Cyclamen persicum,Primulaceae,Vobi; UGA,Temperado/Frio moderado,"Florífera de clima mais ameno; luz indireta e rega moderada, evitando calor excessivo.",(3) Média a alta indireta,10–21,40–70,40–60,40,75,(5) 4–8 dias; ambiente fresco,Plantas que preferem temperaturas mais amenas. Úteis para alertas de temperatura alta.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,2
    46,Colar-de-pérolas,,Curio rowleyanus / Senecio rowleyanus,Asteraceae,The Spruce; PHS,Seco/Suculenta-cacto,Suculenta pendente; precisa de solo arenoso/drenável e pouca água.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,2
    13,Comigo-ninguém-pode / Dieffenbachia,,Dieffenbachia spp.,Araceae,Terra/Casa.com; The Spruce; UGA,Moderado/Folhagem tropical,Folhagem variegada; gosta de umidade moderada e luz média a forte indireta; tóxica.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,3
    55,Cordiline / Ti,,Cordyline fruticosa,Asparagaceae,The Spruce,Alta umidade/Epífita,Folhagem colorida tropical; gosta de alta umidade e luz parcial/alta.,(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    26,Costela-de-adão / Monstera,,Monstera deliciosa,Araceae,Vobi; HouseFresh; The Spruce; PHS; UGA,Moderado/Folhagem tropical,"Folhas grandes e recortadas; luz indireta média/alta, solo bem drenado e rega moderada.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Alta,5
    16,Cróton,,Codiaeum variegatum,Euphorbiaceae,Terra/Casa.com; The Spruce; UGA,Moderado/Folhagem tropical,Folhagem colorida; precisa de luz forte para manter a coloração; rega moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,3
    37,Dinheiro-em-penca,,Callisia repens,Commelinaceae,Vobi,Úmido/Tropical,Rasteira/pendente; boa em luz indireta e regas frequentes em calor.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Baixa,1
    62,Dormideira / Sensitiva,,Mimosa pudica,Fabaceae,CasaCor/HouseFresh,Moderado/Folhagem tropical,Planta sensitiva ao toque; boa luz indireta e umidade moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
    52,Ficus-benjamina,,Ficus benjamina,Moraceae,The Spruce,Moderado/Folhagem tropical,Árvore de interior; luz brilhante filtrada e umidade do ar moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    1,Ficus-lira / Fiddle leaf fig,,Ficus lyrata,Moraceae,Terra/Casa.com; The Spruce; PHS; UGA,Moderado/Folhagem tropical,Folhas grandes; prefere luz natural forte/indireta e solo levemente seco entre regas.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    17,Filodendro-coração / Imbé,,Philodendron hederaceum / Philodendron scandens,Araceae,Terra/Casa.com; Vobi; The Spruce; UGA,Moderado/Folhagem tropical,Trepadeira de baixa manutenção; aceita de pouca a muita luz indireta e rega média.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    35,Fitônia / Planta-mosaico,,Fittonia spp.,Acanthaceae,Vobi,Úmido/Tropical,"Folhagem nervurada; origem tropical, alta umidade e luz indireta.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,1
    59,Flor-da-paixão-azul,,Passiflora caerulea,Passifloraceae,CasaCor/HouseFresh,Moderado/Folhagem tropical,Trepadeira ornamental citada como popular em países da América do Sul; requer boa luz e suporte.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
