    ID,Planta / nome popular,Imagem,Nome científico / grupo,Família / grupo botânico,Citada em,Perfil botânico sugerido,Características atualizadas,Luminosidade ideal,Temperatura ideal (°C),Umidade do ar ideal (%),Umidade solo ideal (%),Irrigar abaixo (%),Alerta excesso (%),Frequência de rega aproximada,Observações para IoT,Fonte técnica URL,Fonte popular URL,Confiança do parâmetro,Qtd. fontes citantes
    12,Hera-inglesa,,Hedera helix,Araliaceae,Terra/Casa.com; HouseFresh; The Spruce; UGA,Temperado/Frio moderado,"Trepadeira pendente; prefere luz média/alta, umidade e ambientes mais frescos.",(3) Média a alta indireta,10–21,40–70,40–60,40,75,(5) 4–8 dias; ambiente fresco,Plantas que preferem temperaturas mais amenas. Úteis para alertas de temperatura alta.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    47,Hoya / Flor-de-cera,,Hoya carnosa,Apocynaceae,The Spruce,Alta umidade/Epífita,"Trepadeira epífita; luz brilhante indireta, substrato drenado e secagem entre regas.",(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    7,Jade,,Crassula ovata,Crassulaceae,Terra/Casa.com; Vobi; ArchDaily; The Spruce; PHS; UGA,Seco/Suculenta-cacto,"Suculenta lenhosa; pouca água, alta luminosidade e solo drenável.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,6
    54,Jiboia-prateada / Satin pothos,,Scindapsus pictus,Araceae,The Spruce; UGA,Moderado/Folhagem tropical,Trepadeira com manchas prateadas; regar quando parte superior do solo secar.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Alta,2
    65,Kalanchoe-panda,,Kalanchoe tomentosa,Crassulaceae,CasaCor/HouseFresh; UGA,Seco/Suculenta-cacto,"Suculenta de folhas aveludadas; pouca água, boa luz e substrato drenável.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Alta,2
    38,Lambari,,Tradescantia zebrina,Commelinaceae,Vobi,Moderado/Folhagem tropical,"Planta pendente/rasteira, resistente; meia-sombra/luz indireta e rega moderada.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,1
    40,Lança-de-são-jorge,,Dracaena angolensis / Sansevieria cylindrica,Asparagaceae,ArchDaily; UGA,Seco/Suculenta-cacto,"Suculenta cilíndrica resistente; rega espaçada, solo drenável e luz indireta/forte.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.archdaily.com.br/br/878119/12-plantas-para-cultivar-em-ambientes-internos ,Alta,2
    60,Lantana,,Lantana camara,Verbenaceae,CasaCor/HouseFresh,Seco/Suculenta-cacto,Arbusto ornamental resistente citado como popular na África; para vaso exige alta luz e evitar encharcamento.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
    4,Lírio-da-paz,,Spathiphyllum wallisii / Spathiphyllum spp.,Araceae,Terra/Casa.com; Vobi; ArchDaily; The Spruce; PHS; UGA,Úmido/Tropical,"Tolera meia-sombra e precisa de substrato úmido, mas com drenagem; sinaliza falta de água por murcha.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,6
    63,Mãe-de-milhares,,Kalanchoe daigremontiana,Crassulaceae,CasaCor/HouseFresh,Seco/Suculenta-cacto,"Suculenta resistente; propaga-se facilmente, precisa de solo drenável e pouca água.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
    14,Manjericão,,Ocimum basilicum,Lamiaceae,Terra/Casa.com; The Spruce,Herbácea aromática,"Erva culinária; precisa de luz forte, calor e solo úmido.",(7) Alta / várias horas de luz,20–27,40–70,50–70,50,85,"(2) 2–4 dias; solo úmido, não encharcado",Ervas culinárias de interior. São boas para demonstrar consumo hídrico maior sob luz intensa.,https://www.thespruce.com/most-popular-houseplants-4766580 ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Média,2
    23,Maranta-zebra / Calathea-zebra,,Calathea zebrina,Marantaceae,Vobi; The Spruce,Úmido/Tropical,Folhas ornamentais; sensível ao sol direto; prefere luz indireta e solo úmido.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,2
    56,Monstera Peru,,Monstera karstenianum,Araceae,The Spruce,Moderado/Folhagem tropical,Epífita trepadeira de baixa manutenção; luz indireta e deixar secar entre regas.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    61,Oleandro,,Nerium oleander,Apocynaceae,CasaCor/HouseFresh,Seco/Suculenta-cacto,Arbusto ornamental muito tóxico; alta luminosidade e pouca água quando estabelecido.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
    44,Orquídea,,Orchidaceae,Orchidaceae,The Spruce; UGA,Alta umidade/Epífita,"Ornamental florífera; substrato muito drenável, luz parcial e umidade do ar moderada/alta.",(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Alta,2
    21,Pacová / Babosa-de-pau,,Philodendron martianum,Araceae,Vobi; ArchDaily,Úmido/Tropical,"Epífita brasileira; meia-sombra, substrato rico em matéria orgânica e sempre úmido.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.archdaily.com.br/br/878119/12-plantas-para-cultivar-em-ambientes-internos ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,2
    51,Palmeira-catarata / Cat palm,,Chamaedorea cataractarum,Arecaceae,The Spruce,Úmido/Tropical,Palmeira tropical; prefere solo úmido sem encharcar e umidade do ar alta.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    64,Palmeira-de-madagascar,,Pachypodium lamerei,Apocynaceae,CasaCor/HouseFresh,Seco/Suculenta-cacto,Planta de caule suculento com espinhos; alta luz e regas espaçadas.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://housefresh.com/every-countrys-most-popular-houseplant/ ,https://housefresh.com/every-countrys-most-popular-houseplant/ ,Baixa,1
    29,Palmeira-leque,,Licuala grandis,Arecaceae,Vobi,Úmido/Tropical,Palmeira tropical ornamental; prefere luz da manhã/indireta e solo úmido.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,1
    49,Palmeira-leque-chinesa,,Livistona chinensis,Arecaceae,The Spruce,Moderado/Folhagem tropical,"Palmeira de crescimento lento; luz parcial, solo úmido e boa drenagem.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    30,Palmeira-ráfia,,Rhapis excelsa,Arecaceae,Vobi; ArchDaily; UGA,Moderado/Folhagem tropical,Palmeira de interior resistente; aceita várias iluminações e rega frequente sem encharcar.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    39,Pau-d’água,,Dracaena fragrans,Asparagaceae,Vobi; UGA,Moderado/Folhagem tropical,"Dracena de interior; claridade indireta e rega regular, com alerta de excesso.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,2
    41,Peperômia-baby-rubber,,Peperomia obtusifolia,Piperaceae,The Spruce; UGA,Moderado/Folhagem tropical,Pequena e fácil de cuidar; luz parcial e rega leve.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Alta,2
    25,Peperômia-pendente,,Peperomia scandens,Piperaceae,Vobi,Moderado/Folhagem tropical,"Pequena e ornamental; boa luminosidade e rega moderada, evitando encharcar.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,1
    57,Philodendron billietiae,,Philodendron billietiae,Araceae,The Spruce,Úmido/Tropical,"Filodendro raro; precisa de alta umidade, luz parcial e solo úmido drenado.",(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    2,Pilea / Planta-chinesa-do-dinheiro,,Pilea peperomioides,Urticaceae,Terra/Casa.com; The Spruce,Moderado/Folhagem tropical,Folhas arredondadas; boa para vasos pequenos; luz indireta e rega regular.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Média,2
    31,Pleomele,,Dracaena reflexa,Asparagaceae,Vobi; ArchDaily; UGA,Moderado/Folhagem tropical,"Arbustiva, decorativa; gosta de claridade sem sol direto e rega regular.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    50,Pothos Marble Queen,,Epipremnum aureum Marble Queen,Araceae,The Spruce,Moderado/Folhagem tropical,"Jiboia variegada; luz parcial, umidade constante e substrato drenável.",(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    43,Pothos N’Joy,,Epipremnum aureum N’Joy,Araceae,The Spruce,Moderado/Folhagem tropical,Variedade variegada de jiboia; luz parcial e umidade moderada.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    53,Pothos Neon,,Epipremnum aureum Neon,Araceae,The Spruce,Moderado/Folhagem tropical,Jiboia de folhas neon; luz indireta brilhante e rega semi-regular.,(1) Baixa a média indireta,18–27,40–60,35–60,35,75,"(6) 5–10 dias, sempre validando o solo",Folhagens comuns de interior. Precisam de umidade moderada e boa drenagem.,https://www.thespruce.com/most-popular-houseplants-4766580 ,https://www.thespruce.com/most-popular-houseplants-4766580 ,Média,1
    66,Rosa-de-pedra / Echeveria,,Echeveria spp.,Crassulaceae,CasaCor Iniciantes / plantas para iniciantes,Seco/Suculenta-cacto,"Suculenta de roseta; pouca água, substrato drenado e alta luminosidade.",(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://extension.illinois.edu/news-releases/did-you-forget-water-your-plants-try-low-maintenance-succulents ,https://casacor.abril.com.br/pt-BR/noticias/paisagismo/guia-de-cuidados-com-plantas-para-iniciantes-especies-dicas-e-mais ,Média,1
    22,Singônio / Sigônio,,Syngonium angustatum / Syngonium podophyllum,Araceae,Vobi; ArchDaily,Úmido/Tropical,Trepadeira de meia-luz; gosta de substrato rico e úmido; também pode crescer em água.,(2) Média indireta / meia-sombra clara,18–27,50–70+,55–75,50,85,(3) 2–5 dias conforme ambiente,Plantas que sofrem quando o substrato seca por muito tempo. Requerem alertas de baixa umidade.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Média,2
    20,Suculentas,,Grupo de suculentas,Diversas famílias,Vobi; ArchDaily; Illinois Extension,Seco/Suculenta-cacto,Armazenam água em folhas/caules; rega apenas quando o solo secar.,(6) Alta / sol filtrado ou luz muito forte,18–29,30–50,15–35,20,55,(7) 14–21 dias ou quando o solo secar,"Plantas que armazenam água ou toleram seca. No IoT, o principal risco é excesso de água.",https://extension.illinois.edu/news-releases/did-you-forget-water-your-plants-try-low-maintenance-succulents ,https://www.vobi.com.br/vobi-design/29-plantas-para-se-ter-dentro-de-casa ,Alta,3
    5,Tillandsia / Planta-aérea,,Tillandsia spp.,Bromeliaceae,Terra/Casa.com; The Spruce; PHS; UGA,Alta umidade/Epífita,Cresce sem solo; precisa de luz brilhante indireta e água por borrifação ou imersão.,(5) Alta indireta / filtrada,18–29,60–80,40–65,40,80,(1) Borrifar/imersão semanal ou substrato aerado,Epífitas ou plantas de ambiente úmido. A umidade do ar é tão importante quanto a do substrato.,https://fieldreport.caes.uga.edu/publications/B1318/growing-indoor-plants-with-success/ ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,4
    8,Violeta-africana,,Saintpaulia ionantha / Streptocarpus ionanthus,Gesneriaceae,Terra/Casa.com; Vobi; ArchDaily; The Spruce; PHS; UGA; UMN Extension,Florífera sensível,"Compacta e florífera; regar no substrato, evitando molhar folhas e flores; boa umidade sem encharcar.","(4) Média/alta indireta, sem sol forte direto",18–24,40–60,45–65,45,75,(4) 3–7 dias; evitar molhar folhas/flores,Plantas com flores/folhas sensíveis. A irrigação deve ser precisa e preferencialmente no substrato.,https://extension.umn.edu/gardening-minnesota/african-violets ,"https://www.terra.com.br/vida-e-estilo/casa-e-decoracao/as-17-plantas-de-casa-mais-populares-quantas-voce-tem,1fa96d8ec3bc8e5d07046a27a64d813ej4taiyg5.html ",Alta,7